id,nome,categoria,preco_pix,preco_cartao,img
1,Bandeja B1 Rasa (Kit 100un),Embalagens,11.00,13.00,img/b1-rasa.jpg
2,Bandeja B2 Rasa (Kit 100un),Embalagens,15.00,17.00,img/b2-rasa.jpg
3,Bandeja B3 Rasa (Kit 100un),Embalagens,19.00,21.00,img/b3-rasa.jpg
4,Bandeja B4 Rasa (Kit 100un),Embalagens,23.00,25.00,img/b4-rasa.jpg
5,Hamburgueira H1 (Kit 100un),Embalagens, 18.00,20.00,img/h1.jpg
6,Hamburgueira H2 (Kit 100un),Embalagens,25.00,27.00,img/h2.jpg
7,Hamgurgueira H3 (Kit 100un),Embalagens, 36.00,38.00,img/h3.jpg
8,Hamburgueira H6 (Kit 100un),Embalagens, 36.00,38.00,img/h6.jpg
9,Emb Hotdog TH-004 (Kit 100un),Embalagens,29.90,33.00,img/th-004.jpg
10,Hamburgueira BH-101 - Estojo (Kit 100un),Embalagens,44.90,47.00,img/bh101-estojo.jpg
11,Frangueira Ultra H5 (Kit 100un),Embalagens,89.90,93.00,img/frangueira-h5.jpg
12,Frangueira BFX-01 (Kit 100un),Embalagens,79.90,84.00,img/bfx-01.jpg
13,Saco Kraft Delivery Tam.G 100un,Embalagens,52.00,55.00,img/saco-G.jpg
14,Caixa Pizza 20cm - 25un,Caixa Pizza,27.00,29.00,img/caixa-20.jpg
15,Caixa Pizza 25cm - 25un,Caixa Pizza,30.50,32.50,img/caixa-25.jpg
16,Caixa Pizza 30cm - 25un,Caixa Pizza,34.50,37.00,img/caixa-30.jpg
17,Caixa Pizza 35cm - 25un,Caixa Pizza,38.50,42.00,img/caixa35.jpg
18,Caixa Pizza 40cm - 25un,Caixa Pizza,49.50,53.00,img/caixa-40.jpg
19,Caixa Pizza 45cm - 25un,Caixa Pizza,56.00,60.00,img/caixa-45.jpg
20,Caixa Batata Frita P - 50un,Embalagens,13.50,15.50,img/batata-p.jpg
21,Caixa Batata Frita M - 50un,Embalagens,15.50,17.50,img/batata-m.jpg
